,Names,Latitudes,Longitudes,Price of Guinness,First Added By,First Added On,LastVerifiedBy,LastVerifiedOn,RMG,JB,DP,COC,BOC,ES,KON,SOS,SH,MOS,SC,AD,SP,MK
,Oarsman,53.3417065,-6.227773,€5.10,Marc O'Sullivan,30/11/2017,Marc O'Sullivan,30/11/2017,,,,,,,,,,1,,,,
,Camden Exchange,53.3351242,-6.2654081,€5.10,Katie O'Neill,02/12/2017,Katie O'Neill,02/12/2017,,,,,,,1,,,,,,,
,The Bleeding Horse,53.3334908,-6.2647676,€5.10,Colin O'Callaghan,11/11/2017,Colin O'Callaghan,11/11/2017,1,,,1,,,,,,1,,,,
,Blackbird,53.3268678,-6.2646279,€5.10,Robbie Mc Guinness,15/09/2017,Robbie Mc Guinness,15/09/2017,1,,,,,,,,,,,,,
,Copán,53.3218191,-6.2656355,€5.10,Robbie Mc Guinness,1/12/2017,Robbie Mc Guinness,01/12/2017,1,1,,,,,,,,,,,,
,Rody Boland's,53.3211247,-6.2654634,€5.10,Robbie Mc Guinness,1/12/2017,Robbie Mc Guinness,01/12/2017,1,1,,,,,,,,,,,,
,Brady's,53.3098046,-6.2841368,€5.10,Robbie Mc Guinness,16/12/2017,Robbie Mc Guinness,16/12/2017,1,,,,,,,,,,,,,
,Jack O'Rourkes,53.3015367,-6.177795,€5.10,Daniel Purdy,20/10/2017,Daniel Purdy,20/10/2017,,,1,,,,,,,,,,,
,The Old Schoolhouse,53.4567294,-6.2228079,€5.20,Daniel Purdy,17/10/17,Daniel Purdy,17/10/2017,,,1,,,,,,,,,,,
,The Celt,53.3505727,-6.2548867,€5.20,Shane Harding,19/10/2017,Shane Harding,19/10/2017,,,,,,,,,1,,,,,
,Gin Palace,53.3478458,-6.2634401,€5.20,Katie O'Neill,14/10/2017,Katie O'Neill,24/11/2017,,,,,,,2,,,,,,,
,J. McNeill,53.3477632,-6.2687542,€5.20,Emmet Sheerin,23/09/2017,Emmet Sheerin,23/09/2017,1,,,1,1,1,,,,,,,,
,The Boar's Head,53.3473737,-6.2685996,€5.20,Bill O'Clerigh,23/09/2017,Bill O'Clerigh,23/09/2017,1,,,1,1,1,,,,,,,,
